item,titulo,VAmPI,OWASP WebGoat (Java),OWASP NodeGoat,OWASP WebGoat (PHP),DVWA,OWASP Mutillidae II,Ghost CMS,Gitea,OWASP Juice Shop,Mattermost,SecureForge Web,SecureForge Web v2
AUTH-01,Politica de senha minima,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,C,C
AUTH-02,Hash de senha forte,NC,NC,NA,NC,NC,NC,NC,NA,NC,NC,C,C
AUTH-03,Protecao contra forca bruta,NC,NC,NC,NA,NA,NC,NA,NC,NA,NA,C,C
AUTH-04,Expiracao de sessao,C,NA,NA,NC,NA,NA,NC,NC,NC,NA,C,C
AUTHZ-01,Controle de acesso por perfil,C,NA,NC,NA,NA,NA,NC,NA,NA,NA,C,C
AUTHZ-02,Principio do menor privilegio,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,C,C
AUTHZ-03,Rotas administrativas protegidas,C,NC,NC,NC,C,NA,NC,NC,NC,NC,C,C
INPUT-01,Validacao server-side,NC,NC,NC,NC,NC,C,NA,NC,NA,NC,C,C
INPUT-02,Queries parametrizadas,NC,NC,NC,C,C,NC,NC,NC,NA,NC,C,C
INPUT-03,Sanitizacao anti-XSS,NC,NC,C,NC,NC,C,NC,NC,NC,NC,C,C
SECRET-01,Segredos em variaveis de ambiente,NC,NA,NA,NC,NC,NC,NA,NA,NA,NA,C,C
SECRET-02,Ausencia de credenciais no repositorio,NA,NC,NC,NC,NC,NC,NA,NC,NC,NA,C,C
HEADER-01,Content-Security-Policy,NC,NC,NC,NC,NC,NC,NC,NC,NC,C,NC,NC
HEADER-02,Strict-Transport-Security,NC,NC,NC,NC,NC,NC,NC,NC,NC,C,NC,NC
HEADER-03,X-Frame-Options / frame-ancestors,NC,NC,NC,NC,NC,NC,NC,C,NC,C,NC,NC
HEADER-04,X-Content-Type-Options,NC,NC,NC,NC,NC,NC,NC,C,NC,C,NC,NC
EXPOS-01,APIs sensiveis autenticadas,NC,NA,NA,NA,NA,NA,NC,NA,NA,NC,NC,C
EXPOS-02,Documentacao de API restrita,NC,NA,NA,NC,NA,NC,NA,NA,NA,NC,C,C
ERROR-01,Sem stack trace em producao,NC,NC,C,C,NC,C,C,NC,C,C,C,C
ERROR-02,Mensagens genericas ao usuario,NA,C,NC,C,C,C,C,NC,C,NC,C,C
DATA-01,HTTPS/TLS em transito,NC,NC,NC,NC,NC,NC,C,NA,NC,C,NC,NC
DATA-02,Dados sensiveis fora de logs,NC,NC,NC,NA,NC,NC,NA,NA,NC,NA,NC,C
SURF-01,Portas e servicos desnecessarios,NC,NC,C,NC,NC,NC,C,NC,C,NA,NC,C
SURF-02,Dependencias atualizadas,NA,NA,NC,NA,NA,NA,NC,NA,NA,NA,NC,NC

score_pct_ref,,25,29,33,33,38,38,42,42,46,58,63,75
count_C,,3,1,3,3,3,4,4,2,3,6,15,18
count_NA,,3,6,5,5,6,5,6,8,8,8,0,0
count_NC,,18,17,16,16,15,15,14,14,13,10,9,6
